state_name_x,city_name,place,description,state_name_y,best_time,ideal_duration
Bihar,Bhagalpur, Champapur Jain Temple ," The Champapur Digambar Jain Mandir dedicated to Vasupujya, the 12th Tirthankara is located in Nathnagar of Bhagalpur city and happens to be an ancient and Historical Teerth Kshetra. It is believed that al the five Kalyanakas of Vasupujya Tirthankara took place in Champapur itself. Champapur is said to have been the capital of the Anga Kingdom ruled by Karna, the sixth Pandava. The Main temple of Champapur is believed to be about 2500 years, adorned with five altars symbolising the Five Kalyanaka. There are two spectacular ‘Columns of Fame’ that have survived among the four that existed on each corner of the compound. The most recent addition to the sculptures is the 31 feet tall statue of Vasupujya that was built under the guidance of a Charitable trust based in Nagaland. ",,,
Bihar,Bhagalpur, Khanqah e Shahbazia ," Situated beside the Bhagalpur Railway Station, Khanqah e Shahbazia is a place visited by numerous people of all faiths every year. Khanqah e Shahbazia is a mosque, and a shrine of the Sufi Shahbaz Rahmattullah who is considered to be one of the 40 sacred Sufis sent to spread the message of Allah. The Mosque was built by Aurangzeb and was frequently visited by him. Every Thursday, visitors assemble at the place to be blessed. Most of the visitors are said to be from the eastern parts of India and Bangladesh. There is a belief that the water in a pond here has medicinal qualities that can cure illness and snake bites. Archeological Survey of India has discovered some ancient manuscripts from the Basement of Khanqah e Shahbazia. ",,,
Bihar,Nalanda, Nalanda University , Nalanda University Archaeological Complex is the excavated site of the ancient university. It is spread over an area of 14 hectares and is a major place of tourist attraction. The university complex had red brick buildings hemmed by gardens.  ,Bihar," Oct-Mar 
            ", 1 day 
Bihar,Nalanda, Hiuen Tsang Memorial Hall ," Built as a dedication to the Chinese scholar Hiuen Tsang, this memorial is a distinct reminder of the architectural style of the Nalanda University. One will find multiple writings of Tsang preserved here. ",Bihar," Oct-Mar 
            ", 1 day 
Bihar,Nalanda, The Great Stupa ," Present amongst the ruins of the Nalanda University, this Stupa was built in the 3rd century by Ashoka in the honour of Sariputra. After the seven accretions to it, this structure is shaped like a pyramid and is flanked by flights of steps and splendid sculptures as well. ",Bihar," Oct-Mar 
            ", 1 day 
Bihar,Nalanda, Pawapuri ," A holy pilgrimage for Jains, Pawapuri is an important destination located in the Nalanda district. Its history dates back more than 2600 years ago and is famous for being the burial site for Lord Mahavira. ",Bihar," Oct-Mar 
            ", 1 day 
Bihar,Nalanda, Nalanda Archaeological Museum ," Housing the ancient relics of Nalanda University, this museum offers a glance into the culture of ancient Nalanda. Pala Art is displayed through the assorted artifacts maintained here. ",Bihar," Oct-Mar 
            ", 1 day 
Bihar,Nalanda, Kundalpur ," Located just outside Nalanda, Kundalpur is the place which is believed to be the birthplace of Lord Mahavira, the 24th and last of Jain Tirthankaras. It is also the place of birth of Gautam Swamiji who was the first disciple of Lord Mahavira. ",Bihar," Oct-Mar 
            ", 1 day 
Bihar,Nalanda," Surya Mandir, Nalanda "," This temple dedicated to the Sun God, is situated near the Nalanda University. Various Buddhist as well as Hindu deities are enshrined in this temple with the most attractive one being the five feet high idol of Goddess Parvati. ",Bihar," Oct-Mar 
            ", 1 day 
Bihar,Nalanda, Nav Nalanda Mahavihara ," Established by the Bihar government in 1951, Nav Nalanda Mahavihara is great place showcasing the ancient tradition to the modern world. It was built as a modern center of Buddhism and today it helps in the education related to ancient Pali script and Buddha religion. ",Bihar," Oct-Mar 
            ", 1 day 
Bihar,Bodh Gaya, Mahabodhi Temple ," The Mahabodhi Temple serves to be the main and most important attraction in Bodh Gaya. It was built in the 7th century, surrounding the Bodhi Tree that Buddha sat under whilst he attained enlightenment. ",,,
Bihar,Bodh Gaya, Great Buddha Statue ," This statue of Lord Buddha is the tallest in India and was instated by the XIV Dalai Lama in 1989. It is a meditating Buddha resting on a giant lotus, constructed using intricately carved sandstone and red granite. ",,,
Bihar,Bodh Gaya, Tibetan Refugee Market ," This market is paradise for shopping lover. It offers a large variety of winter-wears, handicrafts and souvenirs, etc. ",,,
Bihar,Bodh Gaya," Bodhi Tree, Bodh Gaya "," Bodhi Tree is the tree that Lord Buddha meditated under before he could attain enlightenment. The original Bodhi tree may have been destroyed by many Kings, but the direct descendants flourish even today standing tall at 80 feet. ",,,
Bihar,Bodh Gaya, Thai Monastery ," Well known for its curved roof covered with exquisite tiles of gold, the Thai Monastery houses a bronze statue of Buddha and another recently erected 25m high statue in the garden. ",,,
Bihar,Bodh Gaya, Mahabodhi Temple Complex Book store ," This book store offers a wide range of collection of Buddhist books, books on Buddhist culture and history of Mahabodhi Temple. ",,,
Bihar,Bodh Gaya, Muchalinda Lake ," A popular site at Bodh Gaya, the Muchalinda Lake is located next to the main temple. It is associated with a mythological tale stating that Lord Buddha was protected from the storm by Snake King Muchalinda. ",,,
Bihar,Bodh Gaya, Royal Bhutan Monastery ," The Royal Bhutan Monastery has been named so, as it was built by the King of Bhutan as a dedication to Lord Buddha. Clay carvings are seen on the interior walls of the monastery that depict different aspects of the Buddhist culture. ",,,
Bihar,Bodh Gaya, Brahmayoni Temple ," Devotees who wish to visit this temple must go through a grueling climb of 424 high stone steps to reach the top of the hill, atop which lies this temple. ",,,
Bihar,Bodh Gaya, Cankamana ," Situated along the Bodhi Temple, Cankamana is a holy shrine featuring a carving of Lord Buddha's feet into the black stone lotuses. ",,,
Bihar,Bodh Gaya, Chinese Temple , Chinese Temple was constructed by Buddhist monks. It displays beautiful Chinese artwork with a statue of Lord Buddha within the sanctum. ,,,
Bihar,Bodh Gaya, Indosan Nippon Japanese Temple ," An outstanding example of Buddhist culture and Japanese architecture, this temple was built in 1972 with the help of International Buddhist communities. ",,,
Bihar,Bodh Gaya," Vishnupad Temple, Gaya "," As the name suggests, this temple was built as a dedication to Lord Vishnu and features a 40 cm long footprint of Lord Vishnu that is enclosed by a basin made of silver plates. ",,,
Bihar,Bodh Gaya, Vietnamese Temple , Vietnamese Temple is the most recently constructed shrine in the area and features a serene looking statue of Buddha which exudes a calming aura and appears to be smiling. ,,,
Bihar,Bodh Gaya, Kundan Bazaar ," Kundan Bazaar is an ideal place for those looking for souvenirs to back home, books and other handicrafts of the region. ",,,
Bihar,Bodh Gaya," Jama Masjid, Bodh Gaya ", Jama Masjid is the largest mosque in the state of Bihar and dates back to around 200 years. It was built by the royal family of Muzaffarpur. The shrine is well known for its festival Shabina when the prayers are offered on the 27th night of Ramadan. ,,,
Bihar,Bodh Gaya, Dungeshwari Hills , Dungeshwari Hills is where Lord Buddha spent a few years before travelling to Bodh Gaya in search of enlightenment. The hills are mostly known for the caves that Gautam Buddha used for shelter and meditation. The Stupas/ Buddhist shrines exist even today amidst the beautiful natural surroundings. The picturesque location of the Dungeshwari Hills is also a well-known trekking destination and draws enthusiasts in large numbers. ,,,
Bihar,Bodh Gaya, Root Institute for Wisdom Culture , Root Institute for Wisdom Culture is a Buddhist Centre that educates and promotes wisdom culture through programmes and social service. It functions as per the Tibetan tradition and is often considered as a spiritual retreat that offers a tranquil atmosphere to study and practise the culture in its true form. ,,,
Bihar,Bodh Gaya, Burmese Vihara Monastery ," Burmese Vihara Monastery is a spiritual retreat for those who wish to take a break from their stressful lifestyle. Located amidst beautiful gardens, the tranquil monastery was built according to traditional Burmese architecture and houses a Buddha Meditation Hall, a library with a large collection of books on the teachings of Lord Buddha and a guest house. ",,,
Bihar,Bodh Gaya, Sujatha Temple , Sujatha Temple is dedicated to a humble tribal woman named Sujatha who offered pudding to Gautam Buddha. It is said that the pudding was the first meal Gautam Buddha had consumed after years of starvation ever since he renounced the materialistic life including food to attain enlightenment. The temple is considered to be religiously important as the offering is believed to have saved Lord Buddhaês life. ,,,
Bihar,Bodh Gaya, Archaeological Society of India Museum ," Archaeological Society of India Museum was established to display ancient articles belonging to the Brahmanical and Buddhist belief, mostly related to Pala period. Exhibits of splendid stone and bronze statues and sculptures, panels, rods, plaques, pillars, railings, etc are found in the galleries, courtyard and the veranda of the museum that is located inside the Mahabodhi Temple Complex. ",,,
Bihar,Bodh Gaya, Sujata Kuti ," Sujata Kuti is a stupa built in the honour of a tribal woman named Sujata who saved Gautam Buddhaês life by offering him rice pudding after he had starved himself for years in the process of attaining Nirvana and renouncing every luxury he had including food. Sujata Kuti, is thus, considered religiously important in the Buddhist Culture. ",,,
Bihar,Bodh Gaya, Bodhgaya Multimedia Museum , Bodhgaya Multimedia Museum was established to provide a glimpse into the historical life of Gautam Buddha in the most interesting way possible. The museum covers his journey right from his childhood till he attained Nirvana. It also includes content on his teachings and all of this is presented in the form of multimedia and 3D animation movies. ,,,
Bihar,Bodh Gaya, Ajapala Nigrodha Tree ," Once considered a heritage tree, Ajapala Nigrodha Tree, which no longer exists, is but the sacred location where Gautam Buddha completed his fifth week of meditation after attaining enlightenment and held a discourse to address and answer the queries locals had about religion, humanity and equality. Now marked with a pillar, the place still is considered religiously important and is visited by believers. ",,,
Bihar,Bodh Gaya, Daijokyo Buddhist Temple , Daijokyo Buddhist Temple is a tranquil respite for those seeking one amidst beautiful surroundings. The most prominent feature of the temple is the 64 foot tall Great Buddha Statue made of sandstone and granite. It draws visitors in large numbers. The temple also houses a grand meditation hall where one can sit in solitude and soak the peaceful vibe of the surroundings. ,,,
Bihar,Bodh Gaya, Animesh Lochana Chaitanya Shrine ," Animesh Lochan Chaitya Shrine is where Lord Buddha spent his second week of meditation after attaining Nirvana. It is believed that his meditation involved gazing at the Bodhi Tree continuously without blinking. The place, therefore, was named Animesh Lochan which means –Open Eyes” and is considered important as it teaches self control and focus. ",,,
Bihar,Rajgir, Venuvana ," King Bimbisara donated the Bamboo Grove, Veluvana to Buddha for his residence. Today, it is a park with admiring sights of bamboos, flowers and a large pond with Buddha's image in the centre. ",,,
Bihar,Rajgir, Japanese Stupa ," Also known as the Vishwa Shanti Stupa, this pillar is situated atop the Gridhakuta hill at an altitude of 400m. It was built as a symbol of world peace by the Japanese. ",,,
Bihar,Rajgir, Vulture's Peak or Griddhakuta , Gridhakuta is a popular sightseeing location perched at an altitude of 400 m. It is also known as the Vulture's Peak as it is shaped like a vulture and also provides frequent sightings of the bird. It is said to be the place where Lord Buddha resided for many years. ,,,
Bihar,Rajgir, Rajgir Ropeway , Enjoy the ride on the ropeway which takes you to the Japanese Peace Stupa. The ride itself is very scenic and should be on every traveler's itinerary. The timings are 8.15 am- 5 pm (with a break between 1pm and 2pm) and the tickets are available for around Rs. 30 - Rs. 50 per person. ,,,
Bihar,Rajgir, Bimbisara's Jail ," Believed to be the place where Bimbisara was confined by his son King Ajatshatru, Bimbisara Jail offers a brilliant view of the Japanese Stupa situated on the same hill. ",,,
Bihar,Rajgir, Veerayatan Museum , Veerayatan Museum is a fascinating Jain museum showcasing history of each of the 24 Jain Tirthankaras. It features ornate dollhouse like 3-D panel depictions made from wood and metal. ,,,
Bihar,Rajgir, Cyclopean Walls ," Dating back to 2500 years ago, the Cyclopean walls are 4 meters wide and encircle the city, being 40 km long. It was built by the Mauryans with an objective to fortify the city. Today most of it stands in ruins. ",,,
Bihar,Rajgir, Sonabhandar , Sonabhandar caves are situated on the southern slopes of the Vaibhava Hills and feature black stone statues of the first four Jain Tirthankaras and Lord Buddha. ,,,
Bihar,Rajgir, Saptaparni Caves ," Located on the Vaibhava Hills, Saptaparni Caves was the host to the First Buddhist Council, attended by over 500 monks and was led by Maha Kashyapa. ",,,
Bihar,Rajgir, Pawapuri ," A holy pilgrimage for Jains, Pawapuri is an important destination located in the Nalanda district. Its history dates more than 2600 years and is famous for being the burial site for Lord Mahavira. ",,,
Bihar,Rajgir, Maniar Matth , The Maniar Matth was once a monastery of a cult that worshipped snakes. This can be seen by the figures of different snakes that are found here. The structure is in the shape of a stupa and named after a small shrine that was found here on excavation. Buddha photos are seen on the outer walls. ,,,
Bihar,Rajgir, Kundalpur ," Located just outside Nalanda, Kundalpur is the place which is believed to be the birthplace of Lord Mahavira, the 24th and last of Jain Thirthankaras. ",,,
Bihar,Rajgir, Tapodharma or the Lakshmi Narayan Mandir , An ancient Buddhist monastery was once present at Tapodharma. The Lakshmi Narayan Mandir has been built here now. There are a few hot springs found at the place and it is believed that these hot water springs have curative properties. ,,,
Bihar,Rajgir, Hiuen Tsang Memorial Hall ," The Hiuen Tsang Memorial Hall was built in memory of the Chinese scholar in the location where he was said to have resided for over 12 years during his time in the country. The memorial hall is home to writings of the scholar about his observations regarding medieval India, which forms the basis of much of the knowledge of that time. ",,,
Bihar,Rajgir, Chariot Tracks , The Chariot Tracks feature two parallel furrows cut into the rocks and are believed to have been made by Lord Krishna's chariot. Shell inscriptions are also seen here engraved on the rocks. ,,,
Bihar,Rajgir, Rajgir Hot Springs ," Rajgir city is famous for the seven hot springs or Saptarshi, which come and mingle together into a big pool of warm water, named Brahmakund. This is a holy place for bathing of the Hindus, Buddhists and Jains alike. The water is said to contain medicinal properties and healing features, and was visited by the likes of Gautam Buddha and Mahavira. ",,,
Bihar,Rajgir, Stupa of Sariputra ," The Stupa of Sariputra contains the bones of one of the two chief disciples of Gautam Buddha. Sariputra became a celebrated Arhat after he was able to attain salvation following Buddha's footsteps. The stupa is of a pyramidal shape and is imposing in size, surrounded by pillared structures, typical to Buddhist structures. Seven layers of construction explain its colossal size, making it a sight to behold. ",,,
Bihar,Rajgir, Ghora Katora Lake ," The Ghora Katora Lake, located off-road in Rajgir derives its name, which means a ¥horse bowl' from its own shape which is like a horse. This location is an excellent picnic spot and is known for being one of the cleanest sight-seeing locations in Rajgir. Very much loved by the locals, the lake is located at the same place where it is believed that Jarasandha from Mahabharata had his stable. ",,,
Bihar,Rajgir, Ajatshatru Fort ," Ajatshatru was a king and the ruler of the Magadha's in 6th Century B.C when he built this grand fort. According to the legend of history, Ajatshatru imprisoned his father Bimbisar in a jail inside this fort after he took the throne; and Bimbisara, a staunch Buddhist, chose a spot from where he could see Lord Buddha give his sermons every morning. The once sturdy and stable fort is now famous for being in ruins and hardly even resembling the magnificence that it once was. ",,,
Bihar,Rajgir, Jivaka's Mango Garden ," Jivaka's Mango Garden is located in the Jivakameavan Gardens inside Rajgir City. Jivaka was the Royal Physician of Bimbisara and Ajatashatru, the Magadha rulers; and he had his dispensary within this garden gifted to him by Bimbisara, and used the plants here to make Ayurvedic medicines and cure his patients. He was famous for being the one who treated Lord Buddha's wounds when Buddha came to him for treatment. The garden contains the ruins of an old monastery built by the doctor. ",,,
Bihar,Rajgir, Swarna Bhandar ," Swarna Bhandar, translating to ¥the treasure of gold', are two identical caverns cut out of monolithic rocks in the foothills of Vaibhar range. There is a legend about how the cave hides a secret door to a treasure trove of gold within the hills. There are seated and standing figures etched onto the walls of the rocks as well as inscriptions in the ancient text of Sanklipi, which say that the cave was used by Jain saint Muni Vairadevi and other ascetics as a refuge. ",,,
Bihar,Rajgir, Pandu Pokhar ," Pandu Pokhar is a nature-cum-amusement park which extends for a sprawling 22 acres across the foothills of the Rajhara hills in Rajgir. From lovely gardens with crisscrossing walkways, the tranquil lake for boating and meditation point to open air amphitheatre, bronze statues of King Pandu and arenas for kid's entertainment, Pandu Pokhar park brings recreation and spirituality together perfectly. ",,,
Bihar,Rajgir, Jarasandha Ka Akhara ," Jarasandha Ka Akhara, located near the Vaibhava Hill, was previously a wrestling arena and place for martial arts training for the armies which stood against Lord Krishna and the Yadava clan for King Jarasandha of Magadha. The great battle between Bheema and Jarasandha took place right here. The battle lasted for a month, according to legend, and in the end Bheem tore Jarasandha's body into half to defeat and kill him. Now a deserted ruins with overgrown flora, it is a favourite spot for picnickers. ",,,
Bihar,Rajgir, Jarasandha's Baithak ," Jarasandha's Baithak, located near Vaibhava Hill, is a rectangular stone at the foot which was used when Jarasandha of Mahabharata was the rule of Magadha. The locals believe that the place used to be an outpost of the military and had locations which were used as living quarters for the soldiers. The rock has two parallel cuts on it and it is famous, as the belief is that Lord Krishna made the cuts himself during the many battles between Jarasandha and Yadavas. ",,,
Bihar,Rajgir, Shankhalipi Inscriptions ," Two kilometres away from the jail of Bimbisar, the Sankhalipi Inscriptions are seen to be inscribed on the rocky terrain. Near the inscriptions are two parallel marks which are said to have been made by the wheels of Sri Krishna's Chariot. The inscriptions are of great cultural significance, as well as a tourist spot, as they provide a better insight into the society of the time during Mahabharata era. ",,,
Bihar,Rajgir, Yesthivana ," The Yesthivana area used to be a retreat of the forest, but now it has become a nature park where tourists can visit. The area is located near the Tapovana and is said to be the site of the place where Lord Gautam Buddha met the Magadha King, Bimbisar before the latter became a devotee. One of the major sights to see here is the 6 feet tall carved statue of Lord Gautam Buddha and the sapling of the Great Mahabodhi Tree under which Buddha attained enlightenment. ",,,
Bihar,Rajgir, Griddhakuta Hills ," The Griddhakuta Hill is one of the best sightseeing locations in Rajgir, with an uphill drive of 400 metres. Lord Gautam Buddha was said to have lived on the hill for a long time while preaching the Lotus, Heart and Prajnaparomita Sutras and the hill, resembling a perched eagle or vulture has recurring mention in the Pali Buddhist scripts. There is also a Peace Pagoda in this location called Vishwa Shanti Stupa. For travellers looking to get a better look at the scenery, they can take the aerial ropeway which will take you to the Pagoda. ",,,
Bihar,Rajgir, Chariot Wheel Marks ," The Chariot Wheel Marks are thirty feet long, deep marks on the rocks near the Jarasandha monuments. According to the local legends, these marks were made by Lord Krishna when he arrived in Rajgir. Other than the marks, around this area, there is an engraved script which is yet to be decrypted. The script was written at some time between 1 A.D. and 5 A.D, probably in a language unknown to historians now. ",,,
Bihar,Rajgir, Makhdum Kund ," Makhdum Kund is one of the locations in Rajgir which is popular among the Muslim devotees for religious and spiritual purposes. It is a Muslim shrine and also a hot spring near the Vipula Hills. The Hot Springs are named after the Muslim Saint Makhdum Saheb. According to local legends he spent twelve years in the jungles of Rajgir near this region during the 13th century. The hottest spring has a temperature of over 450 degrees Celcius. There are separate areas for men and women to bathe, where the temperature is fitting. ",,,
Andhra Pradesh,Araku Valley, Borra Caves ," The Borra Caves or Borra Guhalu, as is known in the native language were discovered by William King George of the Geological Survey of India in 1807. ",,,
Andhra Pradesh,Araku Valley, Katiki Waterfalls ," With the clear waters of river Gosthani, this place should be on your go-to list if you are in the area.  ",,,
Andhra Pradesh,Araku Valley, Chaparai Waterfalls ," At a distance of just 13 km from Araku, the Chaparai waterfalls or the Dumbriguda waterfalls is one of the most popular weekend destinations as well as a much sought after place for the Telugu film industry. ",,,
Andhra Pradesh,Araku Valley, Tadimada Waterfalls ," The Tadimada Waterfalls is a beauty that would make you fall in love with it instantly. Also commonly known as Ananthagiri Waterfalls, the easiest way to experience what nature has to offer here is through hiking.
 ",,,
Andhra Pradesh,Araku Valley, Matsyagundam ," Popularly known as the fish pool, Matsyagundam near Paderu harbours a variety of fishes and is home to a century-old temple known as Sri Matsyalingeshwara Swamy Temple. With immense potent for tourism, the stream has quite interesting folklore entwined around it. ",,,
Andhra Pradesh,Araku Valley, Bheemili Beach ," Bheemili Beach in Vishakhapatnam District's Araku Valley is located at the origin of River Gosthani, Bheemunipatnam. Remnants of 17th century British and Dutch settlements can be seen here, including a fort and cemetery.  ",,,
Andhra Pradesh,Araku Valley, Tribal Museum ," Opened in 1996 by the Andhra Pradesh Tourism Development Corporation, the Araku Tribal Museum depicts the tribal culture of Andhra Pradesh. From utensils, jewellery, hunting tools to wedding photographs, the museum gives a taste of what traditional tribal lives look like.  ",,,
Andhra Pradesh,Araku Valley, Padmapuram Gardens ," The Padmapuram Gardens is known to be a favourite spot among many tourists who visit Araku Valley.  Boasting variety of species of flora, the garden is home to an exquisite rose garden, treetop huts and a fun toy train for rides around it. ",,,
Andhra Pradesh,Visakhapatnam, Borra Caves ," With stalactite and stalagmite formations and natural enigma overflowing, Borra Caves are located at 1400 meter above sea level in the Anantagiri area of Visakhapatnam. ",,,
Andhra Pradesh,Visakhapatnam, Submarine Museum ," During your stroll on the RK Beach, or as you drive past the beach road, you might notice a rather elaborate collection of Submarines. Step down and stop to witness the only Submarine Museum in the entire of Asia. ",,,
Andhra Pradesh,Visakhapatnam, Kailasagiri ," Located in the scenic locales of Vizag, Kailash Giri is a beautiful hilltop park perched at a height of 360 ft. Sprawling over 100 acres of lush green land area, the park is perched on a hilltop and it offers scenic panoramic vistas of the surroundings and the beach below. The highlight of the place are the magnificent 40 feet statues of Shiva and Parvati painted in white.

 ",,,
Andhra Pradesh,Visakhapatnam, Rushikonda Beach ," The Rushikonda Beach is a stunning shore located on the coast of the Bay of Bengal in Vishakhapatnam, in the Indian state of Andhra Pradesh. APTDC, which is in charge of this natural beauty, has done a great job in the upkeep of the beach and ensured that this natural attraction remains unspoiled. Rushikonda Beach is thus rightly named the 'Jewel of the East Coast,' owing to its essential and intact beauty. The serene golden sands of the beach are located in the bosom of Rushikonda hill.  ",,,
Andhra Pradesh,Visakhapatnam, Yarada Beach ," Situated on the coast of the Bay of Bengal and located close to Dolphin's nose, the Yarada beach is a quiet beach to chill by the waves, sip that tender coconut water and occasionally play in the water.  ",,,
Andhra Pradesh,Visakhapatnam, Ramakrishna Beach ," One of the most popular beaches of Vishakapatnam, RK beach is a beach for to spend some relaxed time, enjoy strolls across the beach, sunbath and more. ",,,
Andhra Pradesh,Visakhapatnam, Dolphin's Nose ," Very similar to a dolphins nose, this 174 m high rocky headland is situated in the south of Vizag . The nose seems to be protruding out towards the Bay of Bengal giving it a rather fascinating look. ",,,
Andhra Pradesh,Visakhapatnam, Katiki Waterfalls , A distance of 100 steps and a trek of 2 km will take you to a place where a most enchanting sight of Katiki Waterfalls awaits for the tourists. ,,,
