,state_name,city_name,place,description_main,best_time,ideal_duration,latitude place,longitude place
10,Bihar,Bhagalpur, Vikramshila Gangetic Dolphin Sanctuary ," Located in the Bhagalpur District of Bihar, Vikramshila Gangetic Dolphin Sanctuary is stretched over a span of 50 km of the river Ganges, starting from Sultangunj to Kahalgaon. The Sanctuary was established in the year 1991 to protect the endangered species of Gangetic Dolphins which were once found in abundance, but now only a few hundreds of them have survived.  "," Oct-Mar 
            ",1.5,25.2871758,87.13033088
11,Bihar,Bhagalpur, Mandar Parvat ," Mandara Parvat (Hill) is located about 48 km to the south of Bhagalpur city in Bihar. Mandara is a nearly 750 feet tall granite hill, and according to a mythological text, Bhagalpur was the place where Samudra Manthan took place, and the Devatas and the Asuras churned the ocean of milk using Mount Mandara to obtain Elixir. The Serpent King Vasuki is said to have offered himself to be used as a rope to churn the ocean of milk, and the faint impressions of a coil on the Mandara hill stand as a proof of this story. One of the Purana says that Lord Vishnu Defeated the demon Madhu and placed the hill which is now known as Mandara, over him. The conch shell, Panchajanya, which marked the start of the war of Mahabharata is believed to have been obtained from the Shankha Kunda. Kalidasa refers to Vishnuâ€™s foot marks on Mount Mandara in his epic Kumarasambhava. The Hill happens to have numerous sculptures of Hindu Gods cut into its Rocks. A belief among the Jains depicts that the 12th Tirthankara, Vasupujya attained Nirvana at the peak of the same hill.  "," Oct-Mar 
            ",1.5,24.8406434,87.0360468
12,Bihar,Bhagalpur, Kuppaghat Ashram ," Kuppaghat is a place located by the banks of the holy river Ganges in Bhagalpur, Bihar. Kuppaghat translates to â€œcave by the banks of a riverâ€ and accordingly has a cave which is believed to have been used by Maharshi Mehi Paramhans as a place for meditation. Kuppaghat has been transformed in the later years as Maharshi Mehi Ashram and has grown to be a pilgrimage for the Followers of Santmat. Every year on the occasion of the Birth Anniversary of Maharshi Mehi, Maharshi Santsevi who was Mehiâ€™s successor and on Guru Purnima, the Ashram is visited by many devotees. This dearness of the devotees made the Ashram as the National Headquarters of Akhila Bharatiya Santmat-Satsang. The Kuppaghat Ashram has a well-maintained garden and Orchard with sculptures and paintings of scenes depicting Lord Ramaâ€™s visit to Shabari and also of Jatayuâ€™s death in the hands of Ravana along with spiritual quotes. "," Oct-Mar 
            ",1.5,25.2871758,87.13033088
13,Bihar,Bhagalpur, Ajgaivinath Temple ," Ajgaivinath Temple, located in Sultanganj, is one of the most famous Hindu Temples dedicated to Lord Shiva. The Idol in the main temple of Ajgaibnath is believed to be Swayambhu (Self-manifester). The temple has been associated with Muni Jahnu, as a belief says that the Idol in the Ajgaivinath Temple protruded in Jahnu Muniâ€™s ashram. There is a story which says that when Muni Jahnu was meditating in his ashram, the Ganges on her way to the ocean disturbed Jahnu with the ripples of her waves. Muni Jahnu is believed to have swallowed the whole river, and Muni Bhagirath saved the Ganges by making an incision on Jahnuâ€™s thighs to make way for the Ganges. Thus river Ganges received the name Jahnavi. "," Oct-Mar 
            ",1.5,25.2525159,86.73442713
14,Bihar,Bhagalpur, Budhanath Temple ," Budhanath temple is one of the main attractions of around Bhagalpur, and it is located on the banks of Uttaravahini Ganga (The Northward flowing Ganges). Budhanath happens to be one of the oldest temples of the region and welcomes a great inflow of devotees throughout the year. Baba Budhanath is referred to in the Shiva Puranas as Bal Vridheshwarnath in the first of the eight segments. The Shiva Linga that resides in the temple is believed to have been self-manifested as it is not known about the birth of the Shivalinga. "," Oct-Mar 
            ",1.5,25.2871758,87.13033088
15,Bihar,Bhagalpur, Champapur Jain Temple ," The Champapur Digambar Jain Mandir dedicated to Vasupujya, the 12th Tirthankara is located in Nathnagar of Bhagalpur city and happens to be an ancient and Historical Teerth Kshetra. It is believed that al the five Kalyanakas of Vasupujya Tirthankara took place in Champapur itself. Champapur is said to have been the capital of the Anga Kingdom ruled by Karna, the sixth Pandava. The Main temple of Champapur is believed to be about 2500 years, adorned with five altars symbolising the Five Kalyanaka. There are two spectacular â€˜Columns of Fameâ€™ that have survived among the four that existed on each corner of the compound. The most recent addition to the sculptures is the 31 feet tall statue of Vasupujya that was built under the guidance of a Charitable trust based in Nagaland. "," Oct-Mar 
            ",1.5,25.2871758,87.13033088
16,Bihar,Bhagalpur, Khanqah e Shahbazia ," Situated beside the Bhagalpur Railway Station, Khanqah e Shahbazia is a place visited by numerous people of all faiths every year. Khanqah e Shahbazia is a mosque, and a shrine of the Sufi Shahbaz Rahmattullah who is considered to be one of the 40 sacred Sufis sent to spread the message of Allah. The Mosque was built by Aurangzeb and was frequently visited by him. Every Thursday, visitors assemble at the place to be blessed. Most of the visitors are said to be from the eastern parts of India and Bangladesh. There is a belief that the water in a pond here has medicinal qualities that can cure illness and snake bites. Archeological Survey of India has discovered some ancient manuscripts from the Basement of Khanqah e Shahbazia. "," Oct-Mar 
            ",1.5,25.2871758,87.13033088
17,Bihar,Nalanda, Nalanda University , Nalanda University Archaeological Complex is the excavated site of the ancient university. It is spread over an area of 14 hectares and is a major place of tourist attraction. The university complex had red brick buildings hemmed by gardens.  ," Oct-Mar 
            ",1.0,25.0263839,85.41363584
18,Bihar,Nalanda, Hiuen Tsang Memorial Hall ," Built as a dedication to the Chinese scholar Hiuen Tsang, this memorial is a distinct reminder of the architectural style of the Nalanda University. One will find multiple writings of Tsang preserved here. "," Oct-Mar 
            ",1.0,25.1364914,85.44365465
19,Bihar,Rajgir, Hiuen Tsang Memorial Hall ," The Hiuen Tsang Memorial Hall was built in memory of the Chinese scholar in the location where he was said to have resided for over 12 years during his time in the country. The memorial hall is home to writings of the scholar about his observations regarding medieval India, which forms the basis of much of the knowledge of that time. "," Oct-Mar 
            ",1.0,25.0299973,85.4207368
20,Bihar,Nalanda, The Great Stupa ," Present amongst the ruins of the Nalanda University, this Stupa was built in the 3rd century by Ashoka in the honour of Sariputra. After the seven accretions to it, this structure is shaped like a pyramid and is flanked by flights of steps and splendid sculptures as well. "," Oct-Mar 
            ",1.0,16.83544805,76.93429162
21,Bihar,Nalanda, Pawapuri ," A holy pilgrimage for Jains, Pawapuri is an important destination located in the Nalanda district. Its history dates back more than 2600 years ago and is famous for being the burial site for Lord Mahavira. "," Oct-Mar 
            ",1.0,25.0890236,85.5338614
22,Bihar,Rajgir, Pawapuri ," A holy pilgrimage for Jains, Pawapuri is an important destination located in the Nalanda district. Its history dates more than 2600 years and is famous for being the burial site for Lord Mahavira. "," Oct-Mar 
            ",1.0,25.0890236,85.5338614
23,Bihar,Nalanda, Nalanda Archaeological Museum ," Housing the ancient relics of Nalanda University, this museum offers a glance into the culture of ancient Nalanda. Pala Art is displayed through the assorted artifacts maintained here. "," Oct-Mar 
            ",1.0,25.1364914,85.44365465
24,Bihar,Nalanda, Kundalpur ," Located just outside Nalanda, Kundalpur is the place which is believed to be the birthplace of Lord Mahavira, the 24th and last of Jain Tirthankaras. It is also the place of birth of Gautam Swamiji who was the first disciple of Lord Mahavira. "," Oct-Mar 
            ",1.0,25.3273668,78.2054257
25,Bihar,Rajgir, Kundalpur ," Located just outside Nalanda, Kundalpur is the place which is believed to be the birthplace of Lord Mahavira, the 24th and last of Jain Thirthankaras. "," Oct-Mar 
            ",1.0,25.3273668,78.2054257
26,Bihar,Nalanda," Surya Mandir, Nalanda "," This temple dedicated to the Sun God, is situated near the Nalanda University. Various Buddhist as well as Hindu deities are enshrined in this temple with the most attractive one being the five feet high idol of Goddess Parvati. "," Oct-Mar 
            ",1.0,25.1364914,85.44365465
27,Bihar,Nalanda, Nav Nalanda Mahavihara ," Established by the Bihar government in 1951, Nav Nalanda Mahavihara is great place showcasing the ancient tradition to the modern world. It was built as a modern center of Buddhism and today it helps in the education related to ancient Pali script and Buddha religion. "," Oct-Mar 
            ",1.0,25.1364914,85.44365465
28,Bihar,Bodh Gaya, Mahabodhi Temple ," The Mahabodhi Temple serves to be the main and most important attraction in Bodh Gaya. It was built in the 7th century, surrounding the Bodhi Tree that Buddha sat under whilst he attained enlightenment. "," Throughout the year 
            ",1.0,24.69593025,84.99139028
29,Bihar,Bodh Gaya, Great Buddha Statue ," This statue of Lord Buddha is the tallest in India and was instated by the XIV Dalai Lama in 1989. It is a meditating Buddha resting on a giant lotus, constructed using intricately carved sandstone and red granite. "," Throughout the year 
            ",1.0,24.6904622,84.9817951
30,Bihar,Bodh Gaya, Tibetan Refugee Market ," This market is paradise for shopping lover. It offers a large variety of winter-wears, handicrafts and souvenirs, etc. "," Throughout the year 
            ",1.0,34.1649034,77.5846476
31,Bihar,Bodh Gaya," Bodhi Tree, Bodh Gaya "," Bodhi Tree is the tree that Lord Buddha meditated under before he could attain enlightenment. The original Bodhi tree may have been destroyed by many Kings, but the direct descendants flourish even today standing tall at 80 feet. "," Throughout the year 
            ",1.0,24.6959233,84.991163
32,Bihar,Bodh Gaya, Thai Monastery ," Well known for its curved roof covered with exquisite tiles of gold, the Thai Monastery houses a bronze statue of Buddha and another recently erected 25m high statue in the garden. "," Throughout the year 
            ",1.0,24.6962612,84.9937642
33,Bihar,Bodh Gaya, Mahabodhi Temple Complex Book store ," This book store offers a wide range of collection of Buddhist books, books on Buddhist culture and history of Mahabodhi Temple. "," Throughout the year 
            ",1.0,24.6962612,84.9937642
34,Bihar,Bodh Gaya, Muchalinda Lake ," A popular site at Bodh Gaya, the Muchalinda Lake is located next to the main temple. It is associated with a mythological tale stating that Lord Buddha was protected from the storm by Snake King Muchalinda. "," Throughout the year 
            ",1.0,24.6962612,84.9937642
35,Bihar,Bodh Gaya, Royal Bhutan Monastery ," The Royal Bhutan Monastery has been named so, as it was built by the King of Bhutan as a dedication to Lord Buddha. Clay carvings are seen on the interior walls of the monastery that depict different aspects of the Buddhist culture. "," Throughout the year 
            ",1.0,24.6962612,84.9937642
36,Bihar,Bodh Gaya, Brahmayoni Temple ," Devotees who wish to visit this temple must go through a grueling climb of 424 high stone steps to reach the top of the hill, atop which lies this temple. "," Throughout the year 
            ",1.0,24.6962612,84.9937642
37,Bihar,Bodh Gaya, Cankamana ," Situated along the Bodhi Temple, Cankamana is a holy shrine featuring a carving of Lord Buddha's feet into the black stone lotuses. "," Throughout the year 
            ",1.0,24.6960597,84.9914189
38,Bihar,Bodh Gaya, Chinese Temple , Chinese Temple was constructed by Buddhist monks. It displays beautiful Chinese artwork with a statue of Lord Buddha within the sanctum. ," Throughout the year 
            ",1.0,24.69639695,84.98723543
39,Bihar,Bodh Gaya, Chinese Temple , Chinese Temple was constructed by Buddhist monks. It displays beautiful Chinese artwork with a statue of Lord Buddha within the sanctum. ," Throughout the year 
            ",1.0,24.69639695,84.98723543
40,Uttar Pradesh,Varanasi, Chinese Temple , Chinese Temple is a colourful shrine dedicated to Lord Buddha and built according to the Chinese/Buddhist architecture. The temple has a spacious meditation hall where visitors can meditate in silence and soak in the serene vibe. ," Throughout the year 
            ",1.0,24.69639695,84.98723543
41,Uttar Pradesh,Varanasi, Chinese Temple , Chinese Temple is a colourful shrine dedicated to Lord Buddha and built according to the Chinese/Buddhist architecture. The temple has a spacious meditation hall where visitors can meditate in silence and soak in the serene vibe. ," Throughout the year 
            ",1.0,24.69639695,84.98723543
42,Bihar,Bodh Gaya, Indosan Nippon Japanese Temple ," An outstanding example of Buddhist culture and Japanese architecture, this temple was built in 1972 with the help of International Buddhist communities. "," Throughout the year 
            ",1.0,24.6962612,84.9937642
43,Bihar,Bodh Gaya," Vishnupad Temple, Gaya "," As the name suggests, this temple was built as a dedication to Lord Vishnu and features a 40 cm long footprint of Lord Vishnu that is enclosed by a basin made of silver plates. "," Throughout the year 
            ",1.0,24.777363,85.00933803
44,Bihar,Bodh Gaya, Vietnamese Temple , Vietnamese Temple is the most recently constructed shrine in the area and features a serene looking statue of Buddha which exudes a calming aura and appears to be smiling. ," Throughout the year 
            ",1.0,25.99137375,85.12341438
45,Bihar,Bodh Gaya, Kundan Bazaar ," Kundan Bazaar is an ideal place for those looking for souvenirs to back home, books and other handicrafts of the region. "," Throughout the year 
            ",1.0,11.6177252,79.4951849
46,Bihar,Bodh Gaya," Jama Masjid, Bodh Gaya ", Jama Masjid is the largest mosque in the state of Bihar and dates back to around 200 years. It was built by the royal family of Muzaffarpur. The shrine is well known for its festival Shabina when the prayers are offered on the 27th night of Ramadan. ," Throughout the year 
            ",1.0,24.6962612,84.9937642
47,Bihar,Bodh Gaya, Dungeshwari Hills , Dungeshwari Hills is where Lord Buddha spent a few years before travelling to Bodh Gaya in search of enlightenment. The hills are mostly known for the caves that Gautam Buddha used for shelter and meditation. The Stupas/ Buddhist shrines exist even today amidst the beautiful natural surroundings. The picturesque location of the Dungeshwari Hills is also a well-known trekking destination and draws enthusiasts in large numbers. ," Throughout the year 
            ",1.0,24.6962612,84.9937642
48,Bihar,Bodh Gaya, Root Institute for Wisdom Culture , Root Institute for Wisdom Culture is a Buddhist Centre that educates and promotes wisdom culture through programmes and social service. It functions as per the Tibetan tradition and is often considered as a spiritual retreat that offers a tranquil atmosphere to study and practise the culture in its true form. ," Throughout the year 
            ",1.0,24.6938261,84.9763084
49,Bihar,Bodh Gaya, Burmese Vihara Monastery ," Burmese Vihara Monastery is a spiritual retreat for those who wish to take a break from their stressful lifestyle. Located amidst beautiful gardens, the tranquil monastery was built according to traditional Burmese architecture and houses a Buddha Meditation Hall, a library with a large collection of books on the teachings of Lord Buddha and a guest house. "," Throughout the year 
            ",1.0,24.6962612,84.9937642
50,Bihar,Bodh Gaya, Sujatha Temple , Sujatha Temple is dedicated to a humble tribal woman named Sujatha who offered pudding to Gautam Buddha. It is said that the pudding was the first meal Gautam Buddha had consumed after years of starvation ever since he renounced the materialistic life including food to attain enlightenment. The temple is considered to be religiously important as the offering is believed to have saved Lord BuddhaÃªs life. ," Throughout the year 
            ",1.0,12.961869,77.5471629
51,Bihar,Bodh Gaya, Archaeological Society of India Museum ," Archaeological Society of India Museum was established to display ancient articles belonging to the Brahmanical and Buddhist belief, mostly related to Pala period. Exhibits of splendid stone and bronze statues and sculptures, panels, rods, plaques, pillars, railings, etc are found in the galleries, courtyard and the veranda of the museum that is located inside the Mahabodhi Temple Complex. "," Throughout the year 
            ",1.0,24.6962612,84.9937642
52,Bihar,Bodh Gaya, Sujata Kuti ," Sujata Kuti is a stupa built in the honour of a tribal woman named Sujata who saved Gautam BuddhaÃªs life by offering him rice pudding after he had starved himself for years in the process of attaining Nirvana and renouncing every luxury he had including food. Sujata Kuti, is thus, considered religiously important in the Buddhist Culture. "," Throughout the year 
            ",1.0,24.69790125,85.00338491
53,Bihar,Bodh Gaya, Bodhgaya Multimedia Museum , Bodhgaya Multimedia Museum was established to provide a glimpse into the historical life of Gautam Buddha in the most interesting way possible. The museum covers his journey right from his childhood till he attained Nirvana. It also includes content on his teachings and all of this is presented in the form of multimedia and 3D animation movies. ," Throughout the year 
            ",1.0,24.6969773,84.9911612
54,Bihar,Bodh Gaya, Ajapala Nigrodha Tree ," Once considered a heritage tree, Ajapala Nigrodha Tree, which no longer exists, is but the sacred location where Gautam Buddha completed his fifth week of meditation after attaining enlightenment and held a discourse to address and answer the queries locals had about religion, humanity and equality. Now marked with a pillar, the place still is considered religiously important and is visited by believers. "," Throughout the year 
            ",1.0,24.696057,84.9919778
55,Bihar,Bodh Gaya, Daijokyo Buddhist Temple , Daijokyo Buddhist Temple is a tranquil respite for those seeking one amidst beautiful surroundings. The most prominent feature of the temple is the 64 foot tall Great Buddha Statue made of sandstone and granite. It draws visitors in large numbers. The temple also houses a grand meditation hall where one can sit in solitude and soak the peaceful vibe of the surroundings. ," Throughout the year 
            ",1.0,24.6962612,84.9937642
56,Bihar,Bodh Gaya, Animesh Lochana Chaitanya Shrine ," Animesh Lochan Chaitya Shrine is where Lord Buddha spent his second week of meditation after attaining Nirvana. It is believed that his meditation involved gazing at the Bodhi Tree continuously without blinking. The place, therefore, was named Animesh Lochan which means â€“Open Eyesâ€ and is considered important as it teaches self control and focus. "," Throughout the year 
            ",1.0,24.6962612,84.9937642
57,Bihar,Rajgir, Venuvana ," King Bimbisara donated the Bamboo Grove, Veluvana to Buddha for his residence. Today, it is a park with admiring sights of bamboos, flowers and a large pond with Buddha's image in the centre. "," Throughout the year 
            ",1.0,25.0299973,85.4207368
58,Bihar,Rajgir, Japanese Stupa ," Also known as the Vishwa Shanti Stupa, this pillar is situated atop the Gridhakuta hill at an altitude of 400m. It was built as a symbol of world peace by the Japanese. "," Throughout the year 
            ",1.0,25.0299973,85.4207368
59,Bihar,Rajgir, Vulture's Peak or Griddhakuta , Gridhakuta is a popular sightseeing location perched at an altitude of 400 m. It is also known as the Vulture's Peak as it is shaped like a vulture and also provides frequent sightings of the bird. It is said to be the place where Lord Buddha resided for many years. ," Throughout the year 
            ",1.0,25.0299973,85.4207368
60,Bihar,Rajgir, Rajgir Ropeway , Enjoy the ride on the ropeway which takes you to the Japanese Peace Stupa. The ride itself is very scenic and should be on every traveler's itinerary. The timings are 8.15 am- 5 pm (with a break between 1pm and 2pm) and the tickets are available for around Rs. 30 - Rs. 50 per person. ," Throughout the year 
            ",1.0,25.0299973,85.4207368
61,Bihar,Rajgir, Bimbisara's Jail ," Believed to be the place where Bimbisara was confined by his son King Ajatshatru, Bimbisara Jail offers a brilliant view of the Japanese Stupa situated on the same hill. "," Throughout the year 
            ",1.0,25.0299973,85.4207368
62,Bihar,Rajgir, Veerayatan Museum , Veerayatan Museum is a fascinating Jain museum showcasing history of each of the 24 Jain Tirthankaras. It features ornate dollhouse like 3-D panel depictions made from wood and metal. ," Throughout the year 
            ",1.0,25.0299973,85.4207368
63,Bihar,Rajgir, Cyclopean Walls ," Dating back to 2500 years ago, the Cyclopean walls are 4 meters wide and encircle the city, being 40 km long. It was built by the Mauryans with an objective to fortify the city. Today most of it stands in ruins. "," Throughout the year 
            ",1.0,25.0299973,85.4207368
64,Bihar,Rajgir, Sonabhandar , Sonabhandar caves are situated on the southern slopes of the Vaibhava Hills and feature black stone statues of the first four Jain Tirthankaras and Lord Buddha. ," Throughout the year 
            ",1.0,25.0299973,85.4207368
65,Bihar,Rajgir, Saptaparni Caves ," Located on the Vaibhava Hills, Saptaparni Caves was the host to the First Buddhist Council, attended by over 500 monks and was led by Maha Kashyapa. "," Throughout the year 
            ",1.0,25.0299973,85.4207368
66,Bihar,Rajgir, Maniar Matth , The Maniar Matth was once a monastery of a cult that worshipped snakes. This can be seen by the figures of different snakes that are found here. The structure is in the shape of a stupa and named after a small shrine that was found here on excavation. Buddha photos are seen on the outer walls. ," Throughout the year 
            ",1.0,25.0299973,85.4207368
67,Bihar,Rajgir, Tapodharma or the Lakshmi Narayan Mandir , An ancient Buddhist monastery was once present at Tapodharma. The Lakshmi Narayan Mandir has been built here now. There are a few hot springs found at the place and it is believed that these hot water springs have curative properties. ," Throughout the year 
            ",1.0,25.0299973,85.4207368
68,Bihar,Rajgir, Chariot Tracks , The Chariot Tracks feature two parallel furrows cut into the rocks and are believed to have been made by Lord Krishna's chariot. Shell inscriptions are also seen here engraved on the rocks. ," Throughout the year 
            ",1.0,25.0299973,85.4207368
69,Bihar,Rajgir, Rajgir Hot Springs ," Rajgir city is famous for the seven hot springs or Saptarshi, which come and mingle together into a big pool of warm water, named Brahmakund. This is a holy place for bathing of the Hindus, Buddhists and Jains alike. The water is said to contain medicinal properties and healing features, and was visited by the likes of Gautam Buddha and Mahavira. "," Throughout the year 
            ",1.0,25.0299973,85.4207368
70,Bihar,Rajgir, Stupa of Sariputra ," The Stupa of Sariputra contains the bones of one of the two chief disciples of Gautam Buddha. Sariputra became a celebrated Arhat after he was able to attain salvation following Buddha's footsteps. The stupa is of a pyramidal shape and is imposing in size, surrounded by pillared structures, typical to Buddhist structures. Seven layers of construction explain its colossal size, making it a sight to behold. "," Throughout the year 
            ",1.0,25.0299973,85.4207368
71,Bihar,Rajgir, Ghora Katora Lake ," The Ghora Katora Lake, located off-road in Rajgir derives its name, which means a Â¥horse bowl' from its own shape which is like a horse. This location is an excellent picnic spot and is known for being one of the cleanest sight-seeing locations in Rajgir. Very much loved by the locals, the lake is located at the same place where it is believed that Jarasandha from Mahabharata had his stable. "," Throughout the year 
            ",1.0,25.0180373,85.49886893
72,Bihar,Rajgir, Ajatshatru Fort ," Ajatshatru was a king and the ruler of the Magadha's in 6th Century B.C when he built this grand fort. According to the legend of history, Ajatshatru imprisoned his father Bimbisar in a jail inside this fort after he took the throne; and Bimbisara, a staunch Buddhist, chose a spot from where he could see Lord Buddha give his sermons every morning. The once sturdy and stable fort is now famous for being in ruins and hardly even resembling the magnificence that it once was. "," Throughout the year 
            ",1.0,25.0299973,85.4207368
73,Bihar,Rajgir, Jivaka's Mango Garden ," Jivaka's Mango Garden is located in the Jivakameavan Gardens inside Rajgir City. Jivaka was the Royal Physician of Bimbisara and Ajatashatru, the Magadha rulers; and he had his dispensary within this garden gifted to him by Bimbisara, and used the plants here to make Ayurvedic medicines and cure his patients. He was famous for being the one who treated Lord Buddha's wounds when Buddha came to him for treatment. The garden contains the ruins of an old monastery built by the doctor. "," Throughout the year 
            ",1.0,25.0299973,85.4207368
74,Bihar,Rajgir, Swarna Bhandar ," Swarna Bhandar, translating to Â¥the treasure of gold', are two identical caverns cut out of monolithic rocks in the foothills of Vaibhar range. There is a legend about how the cave hides a secret door to a treasure trove of gold within the hills. There are seated and standing figures etched onto the walls of the rocks as well as inscriptions in the ancient text of Sanklipi, which say that the cave was used by Jain saint Muni Vairadevi and other ascetics as a refuge. "," Throughout the year 
            ",1.0,25.0299973,85.4207368
75,Bihar,Rajgir, Pandu Pokhar ," Pandu Pokhar is a nature-cum-amusement park which extends for a sprawling 22 acres across the foothills of the Rajhara hills in Rajgir. From lovely gardens with crisscrossing walkways, the tranquil lake for boating and meditation point to open air amphitheatre, bronze statues of King Pandu and arenas for kid's entertainment, Pandu Pokhar park brings recreation and spirituality together perfectly. "," Throughout the year 
            ",1.0,25.0299973,85.4207368
76,Bihar,Rajgir, Jarasandha Ka Akhara ," Jarasandha Ka Akhara, located near the Vaibhava Hill, was previously a wrestling arena and place for martial arts training for the armies which stood against Lord Krishna and the Yadava clan for King Jarasandha of Magadha. The great battle between Bheema and Jarasandha took place right here. The battle lasted for a month, according to legend, and in the end Bheem tore Jarasandha's body into half to defeat and kill him. Now a deserted ruins with overgrown flora, it is a favourite spot for picnickers. "," Throughout the year 
            ",1.0,25.0299973,85.4207368
77,Bihar,Rajgir, Jarasandha's Baithak ," Jarasandha's Baithak, located near Vaibhava Hill, is a rectangular stone at the foot which was used when Jarasandha of Mahabharata was the rule of Magadha. The locals believe that the place used to be an outpost of the military and had locations which were used as living quarters for the soldiers. The rock has two parallel cuts on it and it is famous, as the belief is that Lord Krishna made the cuts himself during the many battles between Jarasandha and Yadavas. "," Throughout the year 
            ",1.0,25.0299973,85.4207368
78,Bihar,Rajgir, Shankhalipi Inscriptions ," Two kilometres away from the jail of Bimbisar, the Sankhalipi Inscriptions are seen to be inscribed on the rocky terrain. Near the inscriptions are two parallel marks which are said to have been made by the wheels of Sri Krishna's Chariot. The inscriptions are of great cultural significance, as well as a tourist spot, as they provide a better insight into the society of the time during Mahabharata era. "," Throughout the year 
            ",1.0,25.0299973,85.4207368
79,Bihar,Rajgir, Yesthivana ," The Yesthivana area used to be a retreat of the forest, but now it has become a nature park where tourists can visit. The area is located near the Tapovana and is said to be the site of the place where Lord Gautam Buddha met the Magadha King, Bimbisar before the latter became a devotee. One of the major sights to see here is the 6 feet tall carved statue of Lord Gautam Buddha and the sapling of the Great Mahabodhi Tree under which Buddha attained enlightenment. "," Throughout the year 
            ",1.0,25.0299973,85.4207368
