city_name,name,description
Manali, 15. Manikaran ," Manikaran is a small town situated between rivers Parvati and Beas, famous for its hot water springs and beautiful landscapes. The town has a famous Gurudwara called Manikaran Sahib and it is frequented by Sikhs from all over the country. "
Manali, 16. Atal Tunnel ," Also referred to as the Rohtang Tunnel, Atal Tunnel is a horseshoe-shaped highway tunnel that connects Manali and the Lahaul-Spiti valley, reducing the time taken by around 4-5 hours.  "
Manali, 17. Bhrigu Lake , Bhrigu Lake is a high altitude lake located in the district of Kullu about 40 kilometres away from Manali. The route to the lake passes through mesmerising meadows. Not many tourists know about the beautiful Bhrigu Lake Meadows that can be compared with the alpine meadows found at high altitude locations like Switzerland. 
Manali, 18. Museum of Himachal Culture & Folk Art ," Museum of Himachal Culture & Folk Art has a beautiful collection of ancient and traditional heritage belonging to the region. The antique artefacts on display at the museum give insights into the long forgotten art, handicraft and the ancient culture of Himachal Pradesh. "
Manali, 19. Hidimba Temple ," Located amidst the snow-covered hills of Manali, the Hadimba Temple is a unique shrine dedicated to Hidimba DeviThe main attraction of the temple is the three day Hidimba Devi Festival, which attracts devotees from all over the world and features colourful folk dance performances. "
Manali," 20. Van Vihar, Manali "," Adorned with sky touching deodar trees, Van Vihar National Park,is located near the Mall Road making it easily accessible. The favourite attraction of this park is a man-made lake that is open for boating.


 "
Manali, 21. Nehru Kund ," Nehru Kund gets its name from the first Prime minister of India, Jawaharlal Nehru who is said to have had water from the natural spring, when he used to stay in Manali. One still finds here some cold and pristine water running here and a breath-taking scenery of mountains and valleys all around. "
Manali, 22. Naggar ," Naggar is an unexplored and modest town in the Kullu district, which will give you all the time to leisurely walk around, rest and rejuvenate amongst mountains, valleys, lush greenery and the River Beas flowing in much proximity. "
Manali, 23. Adventure Activities in Manali ," Manali is the hub of adventure activities in Himachal Pradesh. From white river rafting to trekking opportunities to zorbing to horse-riding to skiing to paragliding, Manali has everything to offer. "
Manali, 24. Malana ," This village in Kullu, is a bit of shift in the world as we know it. There are around 200-300 stone roof houses sheltering 1500 people in this settlement which is one of its kind. "
Manali, 25. Himalaya Nyingmapa Buddhist Temple ," Himalayan Nyingmapa Gompa is a Buddhist Monastery located in Manali and is one of the most famous monasteries situated in north India. Its religious significance is highly essential for devotees, but tourists are also drawn for its architectural beauty and tranquillity in the environment.  "
Manali, 26. Kothi Village Manali , Kothi Village is a perfect camping destination and draws tourists for adventure and recreational activities from all across the world. Most trekkers on their way to Rohtang Pass often camp at the village. 
Manali, 27. Gulaba ," Gulaba is a beautiful little village located about 20 kilometres from Manali on the route to Rohtang Pass. Gulaba has an enchanting natural landscape that attracts tourists in large numbers. One can explore the region trekking, set up a camp to soak in its natural beauty.  "
Manali, 28. Rahala Falls , Rahala Falls is a well-known picnic spot for locals and tourists on their way to Rohtang Pass from Manali often halt to explore the waterfall. The water found at the Rahala Falls is usually cold as the water comes from a melting glacier situated in the Himalayas. The surrounding is thickly vegetated with deodar and Silver Birch trees.  
Manali, 29. Vashisht Temple ," The Vashisht Rishi Temple is a tranquil and revered Hindu pilgrimage destination located in the scenic hill town of Manali. Just 3 km away from the River Beas, this 4000-year-old temple is dedicated to the Hindu sage Vashisht and features stunning architecture, intricate carvings, and sulphurous hot springs believed to have rejuvenating benefits for both the body and mind.  "
Manali, 30. Manu Temple ," Manu temple is said to be the only temple of Manu in India, who is believed to be the creator of human race. This Pagoda style of structure offers quite a glimpse into history, spirituality as well as a fascinating style of architecture. "
Manali, 31. Beas Kund Trek ," The Beas Kund trek is a perfect weekend getaway trek with outstanding views of Pir Pinjal mountain ranges over the Beas river. let your soul get wooed by the spectacular meadows of Dhundi and Bakarthach and finally, the glacial lake at Beas Kund which is worth all the hiking. "
Manali, 32. Hampta Pass Trek ," Hampta Pass, situated in the Manali region of the Himachal Pradesh, serves as one of the most convenient and enjoyable treks. Laden with pristine form of nature, the trail comprises of dense pine forests, pristine glacial valleys, vast meadows and panoramic landscape. "
Manali, 33. Manali Club House ," Club House located in Old Manali is a retreat that offers several facilities and recreational activities for tourists and is, therefore, preferred by tourists. The Club House is said to be one such place in Manali that has something for everyone whether it is indoor games/ sports, entertainment or recreational activities.  "
Manali, 34. Manali Sanctuary ," Manali Sanctuary is home to Mona- the state bird of Himachal Pradesh and a number of other rare and local species. Find here Brown Bear, Musk Dear and maybe even a Snow leopard. "
Manali, 35. Jagatsukh ," Jagatsukh is a picturesque village, and the capital of Kullu locates about 7 kilometres away from the town of Manali. It is famous for its scenic natural landscape and the ancient Jagatsukh Temples which are religiously important shrines dedicated to Lord Shiva and Goddess Sandhya Devi.  "
Manali, 36. Winter Carnival Manali ," The Manali Winter Carnival is Himachal Pradesh's way of welcoming the new year. It started in 1977 and had become an annual feature since then. Held in January, the Winter Carnival in Manali opens an opportunity to witness the beauty of slushy snow and enjoy the events and celebrations that it puts forth. Initially, it only comprised of the Skiing competition, but now it has come to include band performances, food festivals, street plays, folk dances, adventure sports and much more. "
Manali, 37. Chanderkhani Pass ," Located at an altitude of 3660 m in the Kullu Valley, Chandrakhani Pass offers the tourists a fabulous view of Deo Tibba Peak, Pir Panjal and Parbati range of mountains. The expedition to this region introduces you to various hilly cultures of Himachal Pradesh that are extremely popular. In order to reach the serene pass, you have to pass through Malana. "
Manali, 38. Bara Bhangal Trek ," Bara Bangal Trek, also known as the Shepherds trail trek, takes you from the lush green Kullu valley to the stark landscapes of Bara Bhangal range.  "
Manali, 39. Hampta Valley ," Hampta Valley is known for its magnificent views of the mountains and adventure sports and has the 4,250 m-high Hampta Pass that serves as a corridor between Lahaul’s Chandra Valley and Kullu Valley. The valley is perfect for trekking during the summer and winter months. It takes trekkers through alpine and rhododendron forests, green meadows, waterfalls and vertical rock fall while providing excellent views of the snow-covered Pir Panjal peaks. While the option to camp here is open throughout the year (near a riverside), the winter months offer the chance to set up a bonfire while having a hot meal. "
Manali, 40. Deo Tibba Trek ," Cradled in the lap of Himalayan Mountains in Himachal Pradesh, Deo Tibba trek is steeped with the richness of the nature and stunning landscapes. It is a spectacular trail passing through series of grazing pastures of Gaddi shepherds. "
Manali, 41. Gayatri Temple ," Situated 7 km away from Manali, the Gayatri temple houses an idol of Goddess Gayatri, made of marble. This temple has some splendid architecture styles, is constructed with a stunning artistic finesse and with some of the most intricate woodwork. "
Manali, 42. Gadhan Thekchhokling Gompa Monastery ," Gadhan Thekchhokling Gompa is a well known religious centre primarily for the Buddhists. However, people belonging to any religious belief are welcome to explore and soak in the divine spiritual vibe. The monastery is a small shrine dedicated to Lord Buddha.  "
Manali, 43. Siyali Mahadev Temple , Siyali Mahadev Temple is a place of worship dedicated to Lord Shiva and is known as one of the oldest temples of Lord Shiva in the region. The sight of the temple from afar astounds everyone as they witness this unique structure amidst the beautiful natural landscape of Manali.  
Manali, 44. Keylong ," Nestled between the Lahaul and Spiti district in the state of Himachal Pradesh, Keylong is a serene place perfect for a getaway to unwind. Due to the dry cold weather, the place does not have a lot greenery? but the snow covered mountains covered with mist are picturesque. Situated at an altitude of 3080 meters, Keylong also has a rich culture.  "
Manali, 45. Chandratal Baralacha Trek ," Chandratal Baralacha is a perfect trek destination steeped with all the right elements - nature's beauty and enough challenges to be thrilling and tranquillity. Perched at an altitude of 4,300 meters, Chandratal is one of the high altitude lakes in the Himalayan region. Located on the Samudra Plateau of Spiti Valley, the most delightful sight of sunset gleaming upon the turquoise waters of the lake, pristine landscape, mountain passes, several gushing streams, verdant meadows, the gush of colourful orchards and exotic wildlife make Chandratal Baralacha Trek an unforgotten experience to cherish forever. "
Manali, 46. Gauri Shankar Temple , Gauri Shankar Temple is dedicated to Lord Shiva and is located in the village of Naggar in Manali. It is mostly visited by tourists and devotees of Shiva. The temple is a small structure carved out of stones but has immense historical importance in the region.  
Manali, 47. Rozy Waterfalls ," Rozy Falls is situated en-route Rohtang from Manali and is a popular tourist attraction. Enveloped in tall deodar trees, dense woods and bounteous nature, the silvery cascading water is a visual delight to the eyes and a famous picnic spot. "
Manali, 48. Zorbing in Manali ," Zorbing is a fun hill-sport in this region that takes advantage of the picturesque downward slopes of the Himalayas. The thrill of rolling down picturesque views at a speed that is not in your control is not just exhilarating but also alluring for zorbers. While zorbing has become a popular recreational activity, Zorbing in Solang Valley is a wholly new experience. Professional instructors ensure that you are well instructed and safe throughout the activity. "
Manali, 49. Nicholas Roerich Art Gallery ," Nicholas Roerich was a famous Russian artist and philosopher. Some people in Russia consider him as a spiritual leader. He had lived across the world, and decided to settle in the small town of Naggar in the early 1900s. The estate houses a good collection of his art, and also his car and the house where he stayed. 

The estate of Roerich is located at a slightly secluded location - although not too far from the Naggar Castle (around 20mins of walk). The estate has a really nice forest area or garden with a large number of deodar trees, and a great view of the peaks around. Even if you are not very interested in art, it's a good walk to the art gallery and then the views from the estate are pretty nice.  "
Manali, 50. Bhunter ," What is generally overlooked as a town of utility only, with an airport and the last ATM before you travel to higher altitudes, is a town where one can have a calm, simple and almost idle break from the popular Himachal hill stations and their tourist rush. "
Manali, 51. Knoi Waterfalls ," The Knoi Waterfall, located 10 km from Manali, is a breathtaking destination for nature and adventure enthusiasts. Located 10 kms away from Manali, the Knoi Waterfall is an enchanting destination for nature lovers and adventure seekers alike. Despite its small stature, this 20ft drop waterfall nestled in the rugged Himalayan mountains is a breathtaking sight, with its picturesque cascade and cave-like base.  "
Manali, 52. Manali Mall Road ," Bustling street flanked by numerous hotels, restaurants, dhabas, booths, and shopping options, Mall Road is considered the soul of Manali. It is an ideal place to start exploring Manali, full of many activities that will get you engaged throughout the day. The Mall Road Manali embodies the charm of the hill town in all its glory. There is a tonne of boutiques and antique shops lined up in this well-known shopping street where you can find some excellent souvenirs.  "
Coorg, 1. Abbey Falls ," Abbey Falls, also known as Abbi Falls, is located around 10 kilometres away from the town of Madikeri and is one of the most popular tourist attractions in and around Coorg. The water cascade coming down from the cliff from a height of 70 feet provides a spectacular scene to behold. "
Coorg, 2. Raja's Seat ," Raja's Seat is a garden built on an elevated ground overseeing the valleys that lie to the west, making it a popular viewpoint to watch sunrise and sunset. Dotted with flowering plants and skillfully designed artificial fountains, the garden was a favourite venue to rejuvenate for the Kings of Kodagu, and they loved watching the sunsets sitting here as they spent some memorable time with their Queens.  The garden here is a preferred picnic spot for the locals. "
Coorg, 3. Coffee Plantations in Coorg , A walk through the beautiful plantation estates is one of the most wonderful things to do in Coorg.  The region is known for its coffee plantations that also have a variety of spice plants and vanilla trees. Most of these coffee estates provide a paid guided walking tour and have stores from where you can buy coffee and spices. 
Coorg, 4. Golden Temple (Namdroling Monastery) ," Namdroling Monastery, situated at a distance of 34 km from the Coorg, is the largest teaching centre of the school of Tibetan Buddhism known as Nyingmapa. Popularly known as the 'Golden Temple', the Namdroling Monastery holds some excellent examples of Tibetan architecture and artwork, as seen with the elaborately decorated temple tower and ornate outer walls, intricately adorned with beautiful murals.  "
Coorg, 5. Tadiandamol Peak ," Tadiandamol is the highest mountain peak in Coorg, at an elevation of 1748m. Most tourists interested in trekking are drawn to this place as the journey is difficult, but the view from the top, unparalleled. "
Coorg, 6. Iruppu Falls ," Iruppu Falls is a  fresh water cascade located in the Brahmagiri Mountain Range, in the Kodagu district of Karnataka. These are also known as the Lakshmana Tirtha Falls, a name derived from the name of the tributary of Cauvery which starts from these falls. A major tourist attraction, it attracts a large number of tourists because of their mesmerizing natural beauty.  "
Coorg, 7. Talakaveri ," Talakaveri is the source of the river Kaveri, located on the Brahmagiri hill near Bhagamandala.  Kodavas erected a tank which is now considered as its origin. It is believed that the river originates as a spring feeding a tank or a Kundike and then flows underground to re-emerge as Kaveri some distance away. The place has a temple dedicated to the Goddess Kaveriamma is located next to the tank and bathing in it on special occasions is considered holy.  "
Coorg, 8. Madikeri Fort ," Built in the 17th century by Muddu Raja using mud, the structure was rebuilt by Tipu Sultan in granite. "
Coorg, 9. River Rafting in Coorg ," Barapole River is a famous white river rafting destination in Coorg. The white frothy river with speedy waters and rapids, flowing through beautiful landscapes, makes for an ideal river rafting experience. White water rafting is organized in Upper Barapole in Kithu-Kakkatu River which is a strong catchment area for the monsoons, thus providing some of the most challenging stretches of rapids. The Barapole River surges through dense forests and offers rafting participants a breathtaking view of the Brahmagiri Wildlife Sanctuary.  "
Coorg, 10. Dubare Elephant Camp ," Once a training site for elephants of the famous Dasara procession in Mysore, the Dubare Elephant camp offers a unique adventure to visitors by allowing them the experience of living in coexistence with the trained elephants on-site.  "
Coorg, 11. Omkareshwara Temple ," Depicting both Islamic and Gothic architecture, Omkareshwara temple was built in 1820 by Lingarajendra as a dedication to Lord Shiva. "
Coorg, 12. Honnamana Kere Lake ," Known to be the biggest lake in Coorg, Honnamana Kere Lake has spiritual as well as historical significance. The lake is surrounded by hills, coffee plantations and man-made caves. Named after Goddess Honnamana, adjacent to this lake is a temple dedicated to the goddess. "
Coorg, 13. Brahmagiri Wildlife Sanctuary ," The Brahmagiri Wildlife Sanctuary covers 181 square km and has got its name from the Brahmagiri Park, which is the highest peak with a height of 1608 m. The primary vegetation of the sanctuary includes evergreen and semi-evergreen forests, shoal forest patches in grasslands and bamboos. The sanctuary was established in the year 1974 and is surrounded by plantations of coffee and cardamom.   "
Coorg, 14. Gaddige Raja's Tomb ," Built in the Indo-Saracenic style of architecture, this beautiful structure of Gaddige Raja's tomb is the mortal remains of the Kodavad Royalty. These tombs date back to 1820. "
Coorg, 15. Trekking in Coorg ," You could go for a professionally arranged trek or if you just want to wander in the greens on your own, that too would be an equally enjoyable experience. "
Coorg, 16. Nagarhole National Park ," With its diversity of flora and fauna, the Nagarhole National Park is one of the best known wildlife reserves in India. It houses not just multiple species of plants and shrubbery but also mammals, reptiles, crawlers and rare birds. "
Coorg, 17. Somwarpet ," Somwarpet, a town in the north east of the Coorg district, has several tourist attractions, the main being Beelur Golf Club along with the Mallalli Falls and the Pushpagiri Wildlife Sanctuary. "
Coorg," 18. Honey Valley, Nilakandi Falls ", The Nilakandi Falls are located the midst of the dense tropical forests of Coorg. It is a picturesque and serene waterfall that lends trekkers a wonderful waterfall experience. Honey Valley is a private resort in which this beautiful waterfall is located.  
Coorg, 19. Ayurvedic Treatments in Coorg , You get a whole range of rejuvenating Ayurvedic massage and spa packages in Coorg. Ayurjeevan is one of the most famous Ayurvedic therapy center. 
Coorg, 20. Pushpagiri Wildlife Sanctuary , Pushpagiri is one of the 21 wildlife sanctuaries in Karnataka and home to many rare and endangered species of birds. The Kumara Parvat peak lies here. This National Park is also a proposed World Heritage site. 
Coorg, 21. Bhagamandala ," Bhagamandala is a pilgrimage site situated in the scenic foothills of Talacauvery, at a distance of only 39 kms from Madikeri. A bath in the holy waters of the Bhagamandala is not only sacred but also a very spiritually uplifting and cleansing experience. "
Coorg, 22. City Shopping ," Coorg is well known for its traditional Kodagu jewels and the made-in-Coorg honey. You can also buy Coorg coffee, straight from the coffee plantations. "
Coorg, 23. Brahmagiri Trek ," Taking individuals deep inside the Brahmagiri Wildlife Sanctuary, the Brahmagiri trek is a delight with its myriad offerings. The route traverses lush forests, green grasslands and countless small streams and rivers. "
Coorg, 24. Mallalli Falls , Mallalli Falls is a stunning milky white waterfall that lies in the northern region of the Kodagu district in Karnataka. The best way to reach the location of the Mallalli Falls is by trekking. It's a pleasant route and has wide concrete steps that lead to the waterfall. The Government has taken efforts to make the waterfalls easily accessible and convenient for visitors.  The falls originate from River Kumaradhara and takes a deep plunge of over 1000 metres in two tiers.  It's a pleasant route and has wide concrete steps that lead to the waterfall.  
Coorg, 25. Kutta ," Kutta is a small town in Karnataka that connects the several tourist attractions surrounding it. Replete with misty mountains, undulating rivers and cascading waterfalls, Kutta is mainly known for serving as a gateway to the Nagarhole National Park with a few options of a home stay, especially for tourists coming from the Kerala side.
 "
Coorg, 26. Angling (Fishing) in Coorg ," River Cauvery has lots of fishing camps located on the banks. Valnur, a village near Coorg, is famous for its fishing camps. "
Coorg, 27. Kopatty Hills Trek ," Kopatty Hills is one of the lesser-known trekking destinations in India.  It is the myriad landscapes that such a short trail offers and lends the trek its appeal. Located in Coorg district it is a haven for those seeking an off-beat experience. It is a relatively simple route that traverses vast expanses of coffee plantations, rolling grasslands, peaceful streams and dense forests. "
Coorg," 28. Rameshwara Temple, Coorg "," Located on the banks of the Lakshman Tirtha River, Rameshwara temple is dedicated to Lord Shiva. It is famous for having the power to cleanse the sins of those devotees who visit here. "
Coorg, 29. Chettali ," Located on the Madikeri-Siddapur Road, Chettali is a small village blessed with lush greenery and misty hills surrounding it. The Cherala bhagavathy temple here also attracts tourists and devotees. "
Coorg, 30. Nalknad Palace , It was the hunting lodge of Kodagu king dating back to 18th century. It is situated at the bottom of Coorg's highest peak Tadiyendamol. 
Coorg, 31. Bird Watching ," Coffee and spice plantations and lush greens are home to a variety of exotic flora and fauna. The vegetation is ideal for native, rare, endangered - all sorts of birds. "
Coorg, 32. Mandalpatti ," Overlooking the grassy knolls of Pushpagiri forests in the Western Ghats, Mandalpatti is a spectacular and unique vantage point in Coorg. Huddled at an altitude of 1800 m, this place mesmerises all those who visit it. It is also known by the name of ‘Muguli-Peth’ (translated in English as the market of clouds). "
Coorg, 33. Virajpet ," Virajpet is an offbeat hill station, situated at a distance of just 22 km from Coorg. Also known as Virajpete which is derived from Virarajendrapete, after the name of the former ruler and founder of the place, it is known for its world-class coffee and spice plantations. "
Coorg, 34. Nishani Motte Trek ," Located in the district of Galibeedu, 12 km from Madikeri near Coorg, Nishani Motte is a relatively unknown peak in Karnataka. Known for its scintillating views of misty mountains, green forest cover, lush green open meadows and rare species of flora and fauna, the place is also a popular trekking destination. "
Udaipur," 1. City Palace, Udaipur "," City Palace is Rajasthan's largest palace built along the banks of Lake Pichola. The main part of the palace is open as City Palace Museum with extravagant architecture comprising of ornate halls, royal courtyard, central garden and Zenana Mahal among others. "
Udaipur, 2. Lake Pichola ," The oldest and one of the largest lakes of Udaipur, Lake Pichola is enveloped by lofty palaces, temples, and bathing ghats. Boating in Lake Pichola is the most popular thing to do in Udaipur. Boats are easily available from Rameshwar Ghat if visiting from the City Palace. Otherwise, take a boat trip from Lal Ghat. "
Udaipur, 3. Sajjangarh Palace ," Also known as Monsoon Palace, Sajjangarh Palace is located at Bansdara Mountain on the outskirts of Udaipur. It was built by Maharana Sajjan Singh as an astronomical observatory. Now it serves as one of the best places to view the Udaipur skyline and panoramic city view, particularly at sunset. "
Udaipur, 4. Bagore Ki Haveli ," Bagore ki Haveli is situated in the Gangaur Ghat Marg, along Lake Pichola. It was built in the 18th century by Amar Chand Badwa, the Prime Minister of Mewar. The haveli houses more than 100 rooms with elaborate exhibits and mirror work. It also houses a museum. The Dharohar Dance Show that is held here every evening. "
Udaipur, 5. Jag Mandir Palace ," Also known as the Lake Garden Palace, Jag Mandir is located on an island in Lake Pichola. It was once the summer resort of the royal family. The grand palace comprises some impressive structures worth visiting. Jag Mandir can only be visited by boat. "
Udaipur, 6. Eklingji Temple ," Almost 22km away from Udaipur, Eklingji Temple is dedicated to Lord Shiva. Taking a cab to this temple is the most convenient way to reach it. It is one of the most famous temples of Rajasthan, also known for its remarkable architecture. "
Udaipur, 7. Ahar Cenotaphs ," Ahar Museum, which essentially includes the Ahar Cenotaphs as well as the Ahar Archaeological Museum, is located in Ahar which is about 2km east of Udaipur, Rajasthan. This historical attraction is famous for being the cremation ground of the Maharanas of Mewar and for its beautiful architecture. "
Udaipur, 8. Jagdish Temple , Jagdish Temple is one of the most famous temples in and around Udaipur. It is dedicated to Lord Vishnu in the form of Jagannath. The temple is also popular for its striking architecture. Jagdish Temple is located 150m from City Palace's Badi Pol entrance and has a steep flight of steps to the top. 
Udaipur, 9. Fateh Sagar Lake , Fateh Sagar Lake is an artificial lake named after Maharana Fateh Singh of Udaipur and Mewar. It is one of the four lakes in Udaipur and houses Nehru Island and the Udaipur Solar Observatory on its three islands. Boating here in the backdrop of Aravali is a must-do activity.  
Udaipur, 10. Saheliyon Ki Bari ," A majestic garden located on one of the islands of Fateh Sagar Lake, Saheliyon-ki-Bari has expansive lawns, shady cool walking lanes and imposing fountains. There is also a small museum here. It is one of the best places in Udaipur to relax. "
Udaipur, 11. Ambrai Ghat ," Ambrai Ghat, also known as Manjhi Ghat Udaipur is one of the best and the most popular ghats in Udaipur. This place is filled with local people as well as tourists. In the early morning hours, you can find peace and solace with old citizens of Udaipur who do Yoga, bathe into lakes, and do several other activities. In the evening, you can enjoy the city lights and appreciate the detailed view of the Heritage Hotels like Lake Palace Udaipur, Jag Mandir, Shiv Niwas etc from the ghat.  "
Udaipur, 12. Gulab Bagh and Zoo ," Gulab Bagh Zoo is located in the most abundant garden called Gulab Bagh and implicit to the name it has a variety of well-maintained roses. The mini zoo within the garden is a short walk away from the rose gardens. A very few numbers of species of animals are housed in this zoo including the wide-eyed owls and has enough places to visit within the vicinity like the toy train which is open to the kids and the adults. There is an enormous artificial water body called Kamal Talai which adds to the palace like the beauty of the Garden and a Navlakha Mahal, a religious place for parents to visit. "
Udaipur, 13. Jaisamand Lake ," Jaisamand Lake, also known as Dhebar Lake, is the second-largest artificial lake in India. Hawa Mahal, Ruthi Rani ka Mahal, Jaisamand Wildlife Sanctuary and Jaisamand Island Resort are located on its shores and islands. "
Udaipur, 14. Under The Sun Aquarium ," The Udaipur Fish Aquarium, formally known as the Under the Sun Aquarium, is located near Vibhuti Park and Fateh Sagar Lake, and is actually the largest Public Aquarium Gallery in India. Along with hundreds of fish species and other aquatic creatures, it also houses virtual reality experience and 3D arts. "
Udaipur, 15. Sukhadia Circle ," Sukhadia Circle, also called The Heart Of Panchvati, is located In the north of the Udaipur city. This splendid turn around Panchwati is a small pond amidst which lies a 21 Ft high three-tiered fountain. "
Udaipur," 16. Vintage Car Museum, Udaipur ", Located just a few kilometers away from the magnificent City Palace Vintage Car Museum is an awesome place for automobile and car lovers.  
Udaipur, 17. Bharatiya Lok Kala Museum ," If you are interested in artifacts and curious to know how of making these items then Bharatiya Lok kala Museum is definitely the place for you. Located to the north of Chetak circle in Udaipur, the museum has a fine collection of paintings, folk musical instruments, folk dresses and ornaments, dolls, masks, puppets and idols of Gods and Goddesses. "
Udaipur, 18. Shilp Gram ," Located at the foot hills of Aravali Mountains in Udaipur, Shilpgram is a craftsmen's village which encloses twenty-six huts constructed in traditional architectural styles and these huts display many house hold decorative articles. "
Udaipur, 19. Mansapurna Karni Ropeway ," The Mansapurna Karni Mata Temple, built by Maharana Karan Singh and located atop the Machhala Magar hilltop, was quite a remote shrine for the general public to access. For this reason, it was not a much-visited temple previously. But in 2008, the ropeway line connecting the plain and the temple at the peak of the hill was commenced to make it easier for the public to reach the holy shrine and seek blessings of Goddess Karni. There is a staircase leading up to the temple now as well, which can be accessed from Maniklal Verma Park, but that route takes more than 15 minutes and is quite taxing and tiring a process. 
 "
Udaipur, 20. Doodh Talai Musical Garden ," Doodh Talai Musical garden is a rock and fountain garden which is a great place to enjoy the sunset and one can see the wide expanse of the city. Also, there is an Areal tramway (cable car) connecting a garden of Doodh Talai and the Karni mata Temple. "
Udaipur, 21. Hathi Pol Bazar ," Hathi Pol Bazar is a perfect attraction for shopaholics. One can find a variety of branded and local items including intricately embroidered and colourful block-printed apparel, ethnic silver jewellery, accessories, traditional home decor items, textiles, etc. Hathi Pol Bazar is famous for Miniature paintings, Ichhwai Paintings and hand paintings on silk. "
Udaipur, 22. Neemach Mata Temple ," Perched atop the lush green Dewali hill, on the banks of the Fateh Sagar Lake in Udaipur, Neemach Mata Temple is enshrined by the Neemach Mata Devi (also known as Ambaji). Greatly revered by the Hindu pilgrims and devotees, the central deity is believed to be the house goddess of the royal family of the Maharanas in the city.  "
Udaipur, 23. Wax Museum Udaipur ," One of the most well-known tourist attractions in Udaipur, Rajasthan, the Wax Museum is situated on the Sahelion ki Bari Road. It is visited by locals and foreigners alike for its numerous wax statues of celebrities as well as other fun facilities like a Mirror Maze, a Horror House as well as a 9D Cinema. "
Udaipur, 24. Crystal gallery ," Crystal gallery has a stunning collection of crystal artefacts and is the largest collection of crystal in the world. The gallery is located inside the Fateh Prakash Palace and was established by Maharana Sajjan Singh in 1877. He had ordered the crystal artefacts from Birmingham in 1877. However, by the time they were delivered, Maharana has passed away. 110 years later, in 1994, the artefacts were displayed in the gallery which has been open to the public ever since. "
Udaipur, 25. Menar ," An absolute treat for nature lovers, Menar Village about 45km away from Udaipur, Rajasthan basically comprises a lake and bird sanctuary. This picturesque attraction is usually not very crowded and is the perfect location to witness a variety of migratory birds and to engage in nature photography. "
